kdeconnec  1752 alexis  20u  IPv6  16194      0t0  TCP *:1716 (LISTEN)
firefox   15957 alexis  57u  IPv4 960404      0t0  TCP 192.168.0.6:43492->104.18.41.158:443 (ESTABLISHED)
firefox   15957 alexis  87u  IPv4 956879      0t0  TCP 192.168.0.6:57608->142.251.128.46:443 (ESTABLISHED)
firefox   15957 alexis  99u  IPv4 337757      0t0  TCP 192.168.0.6:52588->104.18.32.47:443 (ESTABLISHED)
firefox   15957 alexis 128u  IPv4 962925      0t0  TCP 192.168.0.6:60690->34.120.208.123:443 (ESTABLISHED)
firefox   15957 alexis 131u  IPv4 347661      0t0  TCP 192.168.0.6:56972->34.107.243.93:443 (ESTABLISHED)
firefox   15957 alexis 151u  IPv4 960359      0t0  TCP 192.168.0.6:41986->3.162.185.109:443 (ESTABLISHED)
firefox   15957 alexis 152u  IPv4 963857      0t0  TCP 192.168.0.6:48654->151.101.217.91:443 (ESTABLISHED)
firefox   15957 alexis 173u  IPv4 339966      0t0  TCP 192.168.0.6:39192->31.13.94.52:443 (ESTABLISHED)
firefox   15957 alexis 188u  IPv4 961994      0t0  TCP 192.168.0.6:51566->104.18.39.21:443 (ESTABLISHED)
firefox   15957 alexis 203u  IPv4 962930      0t0  TCP 192.168.0.6:51578->104.18.39.21:443 (ESTABLISHED)
firefox   15957 alexis 207u  IPv4 962931      0t0  TCP 192.168.0.6:44686->3.233.158.26:443 (ESTABLISHED)
electron  18838 alexis  54u  IPv4 112161      0t0  TCP 127.0.0.1:27433 (LISTEN)
claude    19446 alexis  16u  IPv4 962521      0t0  TCP 192.168.0.6:48776->34.36.57.103:443 (ESTABLISHED)
claude    19446 alexis  17u  IPv4 958691      0t0  TCP 192.168.0.6:47676->160.79.104.10:443 (ESTABLISHED)
claude    19446 alexis  29u  IPv4 955255      0t0  TCP 192.168.0.6:48524->160.79.104.10:443 (ESTABLISHED)
